timestamp,session_id,user_message,assistant_response,intent,budget_mentioned,fuel_preference,body_type,family_size,use_case,features_mentioned,model_mentioned,sentiment
2026-03-13T19:26:11.384491,b7e28d81,Hello sofia i want to buy a comfortable car that is not too big since i have a small garage,"Hello! It's great to hear you're looking for a comfortable car that fits well in a smaller space. Considering your needs, the Toyota Corolla might be a fantastic option for you. It's a compact vehicle with a dynamic and highly efficient hybrid powertrain, making it ideal for island commuting with lower fuel costs. Plus, its intelligent design offers fluid connectivity and over-the-air updates, ensuring you have a modern driving experience without the bulk of a larger SUV. 

Would you like to kno",browse,,,,,,"['comfortable', 'not too big']",,positive
2026-03-13T19:26:28.468036,b7e28d81,what about the toyota Yaris?,"The Toyota Yaris is an excellent choice for those looking for a compact and efficient vehicle, especially if you have a smaller garage. The Yaris offers a smart, stylish design and comes equipped with Toyota's hybrid technology, which is perfect for economical island commuting. Its compact size makes it easy to maneuver through city streets and park in tight spaces, yet it doesn't compromise on comfort and advanced features.

Additionally, the Yaris is equipped with Toyota Safety Sense, which in",spec_query,,,,,,[],Toyota Yaris,neutral
2026-02-12T10:14:08.299371,34379950,Which Toyota is best for fuel economy?,"I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",test_drive,75741,,sedan,,,"['panoramic roof', 'tow bar', 'blind spot monitor']",,neutral
2026-02-12T14:17:02.989762,9f4b8762,I need a reliable SUV for off-road use in the Canary Islands,"For island driving, there are a few factors to keep in mind — range, road type, and service access.",recommend,43132,hybrid,mpv,,long highway trips,"['tow bar', 'android auto']",,negative
2026-02-12T14:22:46.077374,75f6ab09,Can you compare the Land Cruiser and Yaris?,The C-HR offers the best balance of performance and efficiency in that price range.,after_sales,39299,petrol,,4,family transport,"['blind spot monitor', '360 camera']",C-HR,positive
2026-02-12T18:14:08.766689,34379950,Tell me about the Land Cruiser,"For island driving, there are a few factors to keep in mind — range, road type, and service access.",browse,,petrol,suv,,,[],,neutral
2026-02-13T01:10:05.344056,1b9fed09,What's the best hybrid Toyota for a family of 4?,I can arrange a test drive at your most convenient location in the Canary Islands.,availability,11554,hybrid,hatchback,,city commuting,"['lane assist', 'blind spot monitor']",,negative
2026-02-13T08:13:32.326631,a1ed0796,"I'm interested in the RAV4, what's the price?",The RAV4 is an excellent choice with its hybrid powertrain and spacious interior.,test_drive,26980,petrol,mpv,6,family transport,"['apple carplay', 'lane assist']",RAV4,neutral
2026-02-13T13:32:50.226814,f33cf532,Is Aygo X available in automatic transmission?,"For that budget, the Aygo X is our top recommendation — great value and reliability.",recommend,12539,,hatchback,,city commuting,[],Aygo X,neutral
2026-02-13T17:23:23.298891,c28d94e6,I need a pickup truck that can tow heavy loads,The Aygo X would be a great fit for your needs. It offers excellent fuel economy and comfort.,availability,14646,,,,,"['7 seats', 'adaptive cruise']",Aygo X,positive
2026-02-14T05:07:09.618188,f9f1d803,"I'm interested in the C-HR, what's the price?",That's a great question! Let me help you narrow down your options based on your needs.,after_sales,14488,petrol,crossover,4,,"['android auto', 'adaptive cruise']",,neutral
2026-02-14T07:14:32.699597,f8f96158,Can you compare the C-HR and Proace City?,The bZ4X is an excellent choice with its hybrid powertrain and spacious interior.,compare,31142,electric,,,eco savings,[],bZ4X,positive
2026-02-14T22:30:48.958052,c6578abc,Is Hilux available in automatic transmission?,I can arrange a test drive for the Hilux at your nearest dealership.,test_drive,59960,petrol,pickup,,towing,['wireless charging'],Hilux,positive
2026-02-15T05:02:19.449831,92168739,"I'm a first-time buyer, what's good for city driving?",Great choice! The GR86 is available at our Las Palmas and Tenerife showrooms.,after_sales,47610,,sedan,,long highway trips,"['adaptive cruise', 'apple carplay', '360 camera']",GR86,neutral
2026-02-15T09:37:31.559337,1339b5d7,I need a reliable SUV for off-road use in the Canary Islands,I can arrange a test drive at your most convenient location in the Canary Islands.,after_sales,,petrol,crossover,,first car,['blind spot monitor'],,neutral
